순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
183,'008770,호텔신라,"48,800",▼,"-1,150","48,850","48,800","456,436","228,322","33,118,812"
184,'006400,삼성SDI,"376,500",▼,"-9,000","376,500","376,000","809,289","226,382","61,068,036"
185,'452450,피아이이,"6,440",▼,"-210","6,450","6,440","376,726","226,194","35,339,837"
186,'455850,SOL AI반도체소부장,"22,355",▼,"-480","22,355","22,350","2,080,627","226,152","35,776,220"
187,'305720,KODEX 2차전지산업,"16,970",▼,"-445","16,975","16,970","3,791,881","225,430","108,324,294"
188,'439260,대한조선,"75,500",▲,"300","75,500","75,200","271,570","224,269","37,464,700"
189,'009070,KCTC,"7,270", ,"0","7,270","7,260","509,386","223,433","29,384,431"
190,'009270,신원,"1,523",▲,"11","1,524","1,523","1,661,597","223,078","111,482,173"
191,'104480,티케이케미칼,"1,824",▼,"-25","1,824","1,823","282,440","220,093","86,173,555"
192,'115530,씨엔플러스,"322",▼,"-1","322","321","863,469","218,150","66,052,547"
193,'024740,한일단조,"2,295",▼,"-15","2,295","2,285","335,104","215,633","31,267,671"
194,'083660,CSA 코스믹,"393",▼,"-67","394","393","1,625,670","213,366","60,807,497"
195,'371160,TIGER 차이나항셍테크,"8,475",▼,"-125","8,480","8,475","1,376,048","213,218","113,109,850"
196,'462010,TIGER 2차전지소재Fn,"6,815",▼,"-235","6,820","6,815","4,986,833","212,896","119,740,277"
197,'008350,남선알미늄,"1,248",▼,"-33","1,250","1,248","2,952,671","212,499","126,453,618"
198,'035900,JYP Ent.,"70,600",▼,"-800","70,700","70,600","417,129","211,506","30,618,045"
199,'403490,우듬지팜,"1,493",▼,"-8","1,493","1,492","100,359","210,439","44,555,582"
200,'005420,코스모화학,"16,880",▼,"-420","16,880","16,870","416,709","209,684","36,469,378"
